ID,ControllerPath,Path,QueryString,DisplayUrl,Neo Response,SQL Response,Neo Exception,SQL Exception,SQL Duration,Neo Duration,isMatch
23,GetInstance,/api/instances/CL/futureRef,,http://landscape-api:5555/api/instances/CL/futureRef,id not found,"{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Future client"",""REF"":""futureRef"",""REN"":""2022-05-06T00:00:00+01:00""}}",{},{},42,179,FALSE
24,GetInstancesAgg,/api/instances/RO,"?context=64615&aggregations=Min(RO.REM),Max(RO.REM)&take=0","http://landscape-api:5555/api/instances/RO?context=64615&aggregations=Min(RO.REM),Max(RO.REM)&take=0","{""aggregations"":{""Min(RO.REM)"":""2018-03-07T00:00:00"",""Max(RO.REM)"":""2020-12-30T00:00:00""},""instances"":[],""mnemonic"":""RO""}","{""aggregations"":{""Min(RO.REM)"":""2018-03-07T00:00:00"",""Max(RO.REM)"":""2020-12-30T00:00:00""},""instances"":[],""mnemonic"":""RO""}",{},{},41,71,TRUE
25,SearchInstance,/api/instances/search/RO,?properties=REF&searchTerm=test&take=50,http://landscape-api:5555/api/instances/search/RO?properties=REF&searchTerm=test&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},40,43,FALSE
26,GetInstancesAgg,/api/instances/OD,?take=0&aggregations=count(OD)&context=64616,http://landscape-api:5555/api/instances/OD?take=0&aggregations=count(OD)&context=64616,"{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""}","{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""}",{},{},40,13,TRUE
27,GetInstancesForPlanets,/api/instances/CL,?context=64617&skip=0&take=20&orderBy=CL.REF%20Asc,http://landscape-api:5555/api/instances/CL?context=64617&skip=0&take=20&orderBy=CL.REF%20Asc,"{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Future client"",""REF"":""futureRef"",""REN"":""2022-05-06T00:00:00""}},{""id"":""oldRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Old client"",""REF"":""oldRef"",""REN"":""2020-01-11T00:00:00""}},{""id"":""soonRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Soon Client"",""REF"":""soonRef"",""REN"":""2020-09-02T00:00:00""}}],""mnemonic"":""CL""}","{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""REF"":""futureRef""}},{""id"":""oldRef"",""mnemonic"":""CL"",""properties"":{""REF"":""oldRef""}},{""id"":""soonRef"",""mnemonic"":""CL"",""properties"":{""REF"":""soonRef""}}],""mnemonic"":""CL""}",{},{},39,104,FALSE
28,GetTabularData,/api/tabulardata,?context=64616&levels=CL.NAM&facts=COUNT%28CL%29,http://landscape-api:5555/api/tabulardata?context=64616&levels=CL.NAM&facts=COUNT%28CL%29,"{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":"""",""type"":""Level""},{""element"":""CL"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[""Old client"",1],[""Soon Client"",1],[""Future client"",1]],""totalRowCount"":3}","{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":"""",""type"":""Level""},{""element"":""CL"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[""Future client"",1],[""Old client"",1],[""Soon Client"",1]],""totalRowCount"":3}",{},{},39,58,TRUE
29,GetInstancesAgg,/api/instances/OD,"?context=64618&aggregations=Min(OD.REL),Max(OD.REL)&take=0","http://landscape-api:5555/api/instances/OD?context=64618&aggregations=Min(OD.REL),Max(OD.REL)&take=0","{""aggregations"":{""Min(OD.REL)"":""2000-06-04T00:00:00"",""Max(OD.REL)"":""2020-06-12T00:00:00""},""instances"":[],""mnemonic"":""OD""}","{""aggregations"":{""Min(OD.REL)"":""2000-06-04T00:00:00"",""Max(OD.REL)"":""2020-06-12T00:00:00""},""instances"":[],""mnemonic"":""OD""}",{},{},38,139,TRUE
30,GetTabularData,/api/tabulardata,?context=64616&facts=COUNTDISTINCT%28CL.REF%29,http://landscape-api:5555/api/tabulardata?context=64616&facts=COUNTDISTINCT%28CL.REF%29,"{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3]],""totalRowCount"":1}",{},{},38,31,TRUE
31,GetTabularData,/api/tabulardata,?context=64613&levels=CL.REF&orderBys=CL.REF%20asc&take=50,http://landscape-api:5555/api/tabulardata?context=64613&levels=CL.REF&orderBys=CL.REF%20asc&take=50,"{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":"""",""type"":""Level""}],""data"":[[""futureRef""],[""oldRef""],[""soonRef""],[""unlinkedRef""]],""totalRowCount"":4}","{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":"""",""type"":""Level""}],""data"":[[""futureRef""],[""oldRef""],[""soonRef""],[""unlinkedRef""]],""totalRowCount"":4}",{},{},37,33,TRUE
32,GetInstance,/api/instances/CL/unlinkedRef,,http://landscape-api:5555/api/instances/CL/unlinkedRef,id not found,"{""id"":""unlinkedRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""unlinked client"",""REF"":""unlinkedRef"",""REN"":""2018-01-11T00:00:00+00:00""}}",{},{},37,19,FALSE
33,GetAllInstances,/api/instances,"?context=64618&elements=OD,PR&take=0&aggregations=count(OD),count(PR)","http://landscape-api:5555/api/instances?context=64618&elements=OD,PR&take=0&aggregations=count(OD),count(PR)","[{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""},{""aggregations"":{""Count(PR)"":4},""instances"":[],""mnemonic"":""PR""}]","[{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""},{""aggregations"":{""Count(PR)"":4},""instances"":[],""mnemonic"":""PR""}]",{},{},36,35,TRUE
34,GetInstancesAgg,/api/instances/CL,"?context=64616&aggregations=Min(CL.REN),Max(CL.REN)&take=0","http://landscape-api:5555/api/instances/CL?context=64616&aggregations=Min(CL.REN),Max(CL.REN)&take=0","{""aggregations"":{""Min(CL.REN)"":""2020-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Min(CL.REN)"":""2020-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}",{},{},35,103,TRUE
35,GetTabularData,/api/tabulardata,?context=64613&facts=COUNTDISTINCT%28CL.NAM%29%2CCOUNTDISTINCT%28CL.REF%29,http://landscape-api:5555/api/tabulardata?context=64613&facts=COUNTDISTINCT%28CL.NAM%29%2CCOUNTDISTINCT%28CL.REF%29,"{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[4,4]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[4,4]],""totalRowCount"":1}",{},{},35,31,TRUE
36,GetInstancesAgg,/api/instances/RO,"?context=64615&aggregations=Min(RO.DEP),Max(RO.DEP)&take=0","http://landscape-api:5555/api/instances/RO?context=64615&aggregations=Min(RO.DEP),Max(RO.DEP)&take=0","{""aggregations"":{""Min(RO.DEP)"":""2017-01-04T00:00:00"",""Max(RO.DEP)"":""2020-10-13T00:00:00""},""instances"":[],""mnemonic"":""RO""}","{""aggregations"":{""Min(RO.DEP)"":""2017-01-04T00:00:00"",""Max(RO.DEP)"":""2020-10-13T00:00:00""},""instances"":[],""mnemonic"":""RO""}",{},{},33,69,TRUE
37,GetTabularData,/api/tabulardata,?context=64613&facts=COUNTDISTINCT%28CL.REN%29%2CMIN%28CL.REN%29%2CMAX%28CL.REN%29,http://landscape-api:5555/api/tabulardata?context=64613&facts=COUNTDISTINCT%28CL.REN%29%2CMIN%28CL.REN%29%2CMAX%28CL.REN%29,"{""columns"":[{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Min"",""type"":""Fact""},{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Max"",""type"":""Fact""}],""data"":[[4,""2018-01-11T00:00:00"",""2022-05-06T00:00:00""]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Min"",""type"":""Fact""},{""element"":""CL"",""property"":""REN"",""displayName"":""Renewal Date"",""dataTypeString"":""DateTime"",""aggregate"":""Max"",""type"":""Fact""}],""data"":[[4,""2018-01-11T00:00:00"",""2022-05-06T00:00:00""]],""totalRowCount"":1}",{},{},33,44,TRUE
38,GetTabularData,/api/tabulardata,?context=64618&facts=COUNTDISTINCT%28OD.VER%29,http://landscape-api:5555/api/tabulardata?context=64618&facts=COUNTDISTINCT%28OD.VER%29,"{""columns"":[{""element"":""OD"",""property"":""VER"",""displayName"":""Version"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}","{""columns"":[{""element"":""OD"",""property"":""VER"",""displayName"":""Version"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}",{},{},33,25,TRUE
39,GetTabularData,/api/tabulardata,?context=64618&facts=COUNTDISTINCT%28OD.END%29%2CMIN%28OD.END%29%2CMAX%28OD.END%29,http://landscape-api:5555/api/tabulardata?context=64618&facts=COUNTDISTINCT%28OD.END%29%2CMIN%28OD.END%29%2CMAX%28OD.END%29,"{""columns"":[{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Min"",""type"":""Fact""},{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Max"",""type"":""Fact""}],""data"":[[5,""2005-09-11T00:00:00"",""2020-09-11T00:00:00""]],""totalRowCount"":1}","{""columns"":[{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Min"",""type"":""Fact""},{""element"":""OD"",""property"":""END"",""displayName"":""End of Life Date"",""dataTypeString"":""DateTime"",""aggregate"":""Max"",""type"":""Fact""}],""data"":[[5,""2005-09-11T00:00:00"",""2020-09-11T00:00:00""]],""totalRowCount"":1}",{},{},32,39,TRUE
40,GetInstancesAgg,/api/instances/CL,?take=0&aggregations=count(CL)&context=64616,http://landscape-api:5555/api/instances/CL?take=0&aggregations=count(CL)&context=64616,"{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""}",{},{},32,28,TRUE
41,GetInstancesAgg,/api/instances/CL,?take=0&aggregations=count(CL)&context=64617,http://landscape-api:5555/api/instances/CL?take=0&aggregations=count(CL)&context=64617,"{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""}",{},{},32,22,TRUE
42,GetTabularData,/api/tabulardata,?context=64617&facts=COUNTDISTINCT%28CL.REF%29,http://landscape-api:5555/api/tabulardata?context=64617&facts=COUNTDISTINCT%28CL.REF%29,"{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3]],""totalRowCount"":1}",{},{},31,138,TRUE
43,GetTabularData,/api/tabulardata,?context=64618&facts=COUNT%28OD%29&skip=0&take=1,http://landscape-api:5555/api/tabulardata?context=64618&facts=COUNT%28OD%29&skip=0&take=1,"{""columns"":[{""element"":""OD"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}","{""columns"":[{""element"":""OD"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}",{},{},31,34,TRUE
44,SearchInstance,/api/instances/search/PR,?properties=PRO&searchTerm=Fut&take=50,http://landscape-api:5555/api/instances/search/PR?properties=PRO&searchTerm=Fut&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},31,9,FALSE
45,SearchInstance,/api/instances/search/CL,?properties=REF&searchTerm=fut&take=50,http://landscape-api:5555/api/instances/search/CL?properties=REF&searchTerm=fut&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""REF"":""futureRef""}}],""mnemonic"":null}",{},{},31,9,FALSE
46,GetTabularData,/api/tabulardata,?context=64616&facts=COUNTDISTINCT%28CL.NAM%29%2CCOUNTDISTINCT%28CL.REF%29,http://landscape-api:5555/api/tabulardata?context=64616&facts=COUNTDISTINCT%28CL.NAM%29%2CCOUNTDISTINCT%28CL.REF%29,"{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3,3]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""NAM"",""displayName"":""Name"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""},{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[3,3]],""totalRowCount"":1}",{},{},29,50,TRUE
47,GetTabularData,/api/tabulardata,?context=64613&facts=COUNTDISTINCT%28CL.REF%29,http://landscape-api:5555/api/tabulardata?context=64613&facts=COUNTDISTINCT%28CL.REF%29,"{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[4]],""totalRowCount"":1}","{""columns"":[{""element"":""CL"",""property"":""REF"",""displayName"":""Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[4]],""totalRowCount"":1}",{},{},28,31,TRUE
48,GetInstancesForPlanets,/api/instances/CL,?context=64613&skip=0&take=20&orderBy=CL.REF%20Asc,http://landscape-api:5555/api/instances/CL?context=64613&skip=0&take=20&orderBy=CL.REF%20Asc,"{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Future client"",""REF"":""futureRef"",""REN"":""2022-05-06T00:00:00""}},{""id"":""oldRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Old client"",""REF"":""oldRef"",""REN"":""2020-01-11T00:00:00""}},{""id"":""soonRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Soon Client"",""REF"":""soonRef"",""REN"":""2020-09-02T00:00:00""}},{""id"":""unlinkedRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""unlinked client"",""REF"":""unlinkedRef"",""REN"":""2018-01-11T00:00:00""}}],""mnemonic"":""CL""}","{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""REF"":""futureRef""}},{""id"":""oldRef"",""mnemonic"":""CL"",""properties"":{""REF"":""oldRef""}},{""id"":""soonRef"",""mnemonic"":""CL"",""properties"":{""REF"":""soonRef""}},{""id"":""unlinkedRef"",""mnemonic"":""CL"",""properties"":{""REF"":""unlinkedRef""}}],""mnemonic"":""CL""}",{},{},26,36,FALSE
49,SearchInstance,/api/instances/search/PR,?properties=PRO&searchTerm=Future&take=50,http://landscape-api:5555/api/instances/search/PR?properties=PRO&searchTerm=Future&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},26,31,FALSE
50,GetInstancesAgg,/api/instances/CL,?take=0&aggregations=count(CL)&context=64613,http://landscape-api:5555/api/instances/CL?take=0&aggregations=count(CL)&context=64613,"{""aggregations"":{""Count(CL)"":4},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Count(CL)"":4},""instances"":[],""mnemonic"":""CL""}",{},{},26,8,TRUE
51,SearchInstance,/api/instances/search/OD,"?properties=VER,PRO&searchTerm=Fut&take=50","http://landscape-api:5555/api/instances/search/OD?properties=VER,PRO&searchTerm=Fut&take=50","{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},25,9,FALSE
52,GetInstance,/api/instances/OD/Site:Hubl:172.68.255,,http://landscape-api:5555/api/instances/OD/Site:Hubl:172.68.255,id not found,"{""id"":""Site:Hubl:172.68.255"",""mnemonic"":""OD"",""properties"":{""END"":null,""PRO"":""Site:Hubl:172.68.255"",""REL"":""2020-01-01T00:00:00+00:00"",""VER"":""172.68.255""}}",{},{},24,33,FALSE
53,GetInstance,/api/instances/CL/soonRef,,http://landscape-api:5555/api/instances/CL/soonRef,id not found,"{""id"":""soonRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Soon Client"",""REF"":""soonRef"",""REN"":""2020-09-02T00:00:00+01:00""}}",{},{},22,50,FALSE
54,SearchInstance,/api/instances/search/RO,?properties=REF&searchTerm=Future&take=50,http://landscape-api:5555/api/instances/search/RO?properties=REF&searchTerm=Future&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef:App:Word:2018.08.12"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2018.08.12""}},{""id"":""futureRef:App:Word:2020.01.02"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2020.01.02""}},{""id"":""futureRef:Browser:Chrome:54.1.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:54.1.0""}},{""id"":""futureRef:Browser:Chrome:64.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:64.1.2""}},{""id"":""futureRef:Browser:Chrome:74.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:74.1.2""}},{""id"":""futureRef:OS:Windows:10.1.0.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.0""}},{""id"":""futureRef:OS:Windows:10.1.0.1"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.1""}},{""id"":""futureRef:OS:Windows:10.1.0.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.2""}}],""mnemonic"":null}",{},{},22,31,FALSE
55,SearchInstance,/api/instances/search/RO,?properties=REF&searchTerm=fut&take=50,http://landscape-api:5555/api/instances/search/RO?properties=REF&searchTerm=fut&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef:App:Word:2018.08.12"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2018.08.12""}},{""id"":""futureRef:App:Word:2020.01.02"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2020.01.02""}},{""id"":""futureRef:Browser:Chrome:54.1.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:54.1.0""}},{""id"":""futureRef:Browser:Chrome:64.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:64.1.2""}},{""id"":""futureRef:Browser:Chrome:74.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:74.1.2""}},{""id"":""futureRef:OS:Windows:10.1.0.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.0""}},{""id"":""futureRef:OS:Windows:10.1.0.1"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.1""}},{""id"":""futureRef:OS:Windows:10.1.0.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.2""}}],""mnemonic"":null}",{},{},22,9,FALSE
56,SearchInstance,/api/instances/search/OD,"?properties=VER,PRO&searchTerm=Futu&take=50","http://landscape-api:5555/api/instances/search/OD?properties=VER,PRO&searchTerm=Futu&take=50","{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},22,8,FALSE
57,SearchInstance,/api/instances/search/OD,"?properties=VER,PRO&searchTerm=test&take=50","http://landscape-api:5555/api/instances/search/OD?properties=VER,PRO&searchTerm=test&take=50","{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},21,85,FALSE
58,SearchInstance,/api/instances/search/CL,?properties=REF&searchTerm=test&take=50,http://landscape-api:5555/api/instances/search/CL?properties=REF&searchTerm=test&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},21,45,FALSE
59,SearchInstance,/api/instances/search/PR,?properties=PRO&searchTerm=test&take=50,http://landscape-api:5555/api/instances/search/PR?properties=PRO&searchTerm=test&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},21,43,FALSE
60,SearchInstance,/api/instances/search/CL,?properties=REF&searchTerm=Future&take=50,http://landscape-api:5555/api/instances/search/CL?properties=REF&searchTerm=Future&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""REF"":""futureRef""}}],""mnemonic"":null}",{},{},21,31,FALSE
61,SearchInstance,/api/instances/search/OD,"?properties=VER,PRO&searchTerm=Future&take=50","http://landscape-api:5555/api/instances/search/OD?properties=VER,PRO&searchTerm=Future&take=50","{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},20,32,TRUE
62,SearchInstance,/api/instances/search/CL,?properties=REF&searchTerm=Cou&take=50,http://landscape-api:5555/api/instances/search/CL?properties=REF&searchTerm=Cou&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},20,9,FALSE
63,SearchInstance,/api/instances/search/CL,?properties=REF&searchTerm=Futu&take=50,http://landscape-api:5555/api/instances/search/CL?properties=REF&searchTerm=Futu&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef"",""mnemonic"":""CL"",""properties"":{""REF"":""futureRef""}}],""mnemonic"":null}",{},{},20,8,FALSE
64,SearchInstance,/api/instances/search/PR,?properties=PRO&searchTerm=Futu&take=50,http://landscape-api:5555/api/instances/search/PR?properties=PRO&searchTerm=Futu&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},20,8,FALSE
65,SearchInstance,/api/instances/search/RO,?properties=REF&searchTerm=Futu&take=50,http://landscape-api:5555/api/instances/search/RO?properties=REF&searchTerm=Futu&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[{""id"":""futureRef:App:Word:2018.08.12"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2018.08.12""}},{""id"":""futureRef:App:Word:2020.01.02"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:App:Word:2020.01.02""}},{""id"":""futureRef:Browser:Chrome:54.1.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:54.1.0""}},{""id"":""futureRef:Browser:Chrome:64.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:64.1.2""}},{""id"":""futureRef:Browser:Chrome:74.1.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:Browser:Chrome:74.1.2""}},{""id"":""futureRef:OS:Windows:10.1.0.0"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.0""}},{""id"":""futureRef:OS:Windows:10.1.0.1"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.1""}},{""id"":""futureRef:OS:Windows:10.1.0.2"",""mnemonic"":""RO"",""properties"":{""REF"":""futureRef:OS:Windows:10.1.0.2""}}],""mnemonic"":null}",{},{},19,8,FALSE
66,GetInstance,/api/instances/CL/oldRef,,http://landscape-api:5555/api/instances/CL/oldRef,id not found,"{""id"":""oldRef"",""mnemonic"":""CL"",""properties"":{""NAM"":""Old client"",""REF"":""oldRef"",""REN"":""2020-01-11T00:00:00+00:00""}}",{},{},18,14,FALSE
67,SearchInstance,/api/instances/search/RO,?properties=REF&searchTerm=Co&take=50,http://landscape-api:5555/api/instances/search/RO?properties=REF&searchTerm=Co&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},17,9,FALSE
68,SearchInstance,/api/instances/search/OD,"?properties=VER,PRO&searchTerm=Cou&take=50","http://landscape-api:5555/api/instances/search/OD?properties=VER,PRO&searchTerm=Cou&take=50","{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},16,9,FALSE
69,SearchInstance,/api/instances/search/PR,?properties=PRO&searchTerm=Cou&take=50,http://landscape-api:5555/api/instances/search/PR?properties=PRO&searchTerm=Cou&take=50,"{""aggregations"":{},""instances"":[],""mnemonic"":null}","{""aggregations"":{},""instances"":[],""mnemonic"":null}",{},{},16,9,FALSE
